PART-NO.,CLASS,DESC,O.H.,BIN,MNS,COST,CUR.VAL
15776148,3410,(S)ELEMENT,1,237,,66.86,66.86
12004008,8965,(S)FUSE,2,245,,0.82,1.64
12641260,0386,(S)COVER,1,699,,81.45,81.45
24240100,4163,(S)PLATE KIT,1,752,,29.88,29.88
15835854,4805,(S)BOOSTER,1,758,,214.56,214.56
24508009,0308,(S)SEAL,1,1004,,5.24,5.24
11609317,8924,(S)NUT,10,1113,,0.57,5.7
274414,8934,(S)RING,1,1114,,0.9,0.9
11503505,8977,F-(S)BOLT,8,1119,,0.43,3.44
11609457,8977,(S)BOLT,8,1121,,0.6,4.8
15205959,16165,F-RETAINER,1,1162,,2.3,2.3
